,Name,_id,MetCat key,Type,Class,(A)chondrite,Group,Petrologic type,Recovered weight,Year,Month,Day,Hour,Locality,Country,Decimal latitude,Decimal longitude,Verbatim latitude,Verbatim longitude,Present in NHM collection,NHM specimen data
13857,Morávka,40332,M3005,Stone,Ordinary,Chondrite,H,5,862 g,2000,May,6,1151 (UTC),North Moravia,Czech Republic,49.6,18.5333,49° 36' N,18° 32' E,,
13862,Mornans,40337,M3110,Stone,Ordinary,Chondrite,H,5,1.3 kg,1875,September,,,Drome,France,44.6,-5.1333,44° 36' N,5° 8' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3110%7CscientificName%3AMornans
13865,Magombedze,40340,M315,Stone,Ordinary,Chondrite,H,5,666.6 g,1990,July,2,1730,,Zimbabwe,-19.6333,31.1667,19° 38' S,31° 10' E,,
13875,Moti-ka-nagla,40350,M3250,Stone,Ordinary,Chondrite,H,6,,1868,December,22,1700,Rajasthan,India,26.8333,77.3333,26° 50' N,77° 20' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3250%7CscientificName%3AMoti-ka-nagla
13878,Motta di Conti,40353,M3280,Stone,Ordinary,Chondrite,H,4,9.15 kg,1868,February,29,1100,Piemonte,Italy,45.2,8.5,45° 12' N,8° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3280%7CscientificName%3AMotta%20di%20Conti
13883,Mount Browne,40358,M3310,Stone,Ordinary,Chondrite,H,6,11.3 kg,1902,July,17,930,New South Wales,Australia,-29.8,141.7,29° 48' S,141° 42' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3310%7CscientificName%3AMount%20Browne
13896,Mount Tazerzait,40371,M3495,Stone,Ordinary,Chondrite,L,5,110 kg,1991,August,21,,,Niger,18.7,4.8,18° 42' N,4° 48' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3495%7CscientificName%3AMount%20Tazerzait
13915,Mount Vernon,40390,M3510,Stony-iron,Pallasite,,PAL,,159.2 kg,1868,,,,Kentucky,USA,36.9333,-87.4,36° 56' N,87° 24' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3510%7CscientificName%3AMount%20Vernon
13919,Mtola,40394,M3565,Stone,,,,,1.08 kg,1944,June,17,1000,Mzimba district,Malawi,-11.5,33.5,11° 30' S,33° 30' E,,
13939,Muddoor,40414,M3590,Stone,Ordinary,Chondrite,L,5,,1865,September,21,700,Karnataka,India,12.6333,77.0167,12° 38' N,77° 1' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3590%7CscientificName%3AMuddoor
13981,Muraid,40456,M3780,Stone,Ordinary,Chondrite,L,6,4703 g,1924,August,7,1430,Dacca,Bangladesh,24.5,90.2167,24° 30' N,90° 13' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3780%7CscientificName%3AMuraid
13982,Murchison,40457,M3790,Stone,Carbonaceous,Chondrite,CM,2,100 kg,1969,September,28,1045-1100,Victoria,Australia,-36.6167,145.2,36° 37' S,145° 12' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3790%7CscientificName%3AMurchison
13989,Murray,40464,M3920,Stone,Carbonaceous,Chondrite,CM,2,12.6 kg,1950,September,20,,Kentucky,USA,36.6,-88.1,36° 36' N,88° 6' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3920%7CscientificName%3AMurray
13991,Muzaffarpur,40466,M3960,Iron,Plessitic octahedrite,,UNGR,Opl,1245 g,1964,April,11,1700,Bihar,India,26.1333,85.5333,26° 8' N,85° 32' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM3960%7CscientificName%3AMuzaffarpur
13993,Myhee Caunta,40468,M3990,Stone,,Chondrite,,,,1842,November,30,1600,Gujarat,India,23.05,72.6333,23° 3' N,72° 38' E,,
13997,Majorca,40472,M410,Iron,Octahedrite,,,O,824 g,1935,July,17,1135,,Spain,39.45,2.8167,39° 27' N,2° 49' E,,
13999,Malaga,40474,M460,Stone,,Chondrite,,,150 g,1933,November,,,New Mexico,USA,32.2167,-104.0,32° 13' N,104° 0' W,,
14000,Malakal,40475,M470,Stone,Ordinary,Chondrite,L,5,2 kg,1970,August,,,,Sudan,9.5,31.75,9° 30' N,31° 45' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM470%7CscientificName%3AMalakal
14001,Malampaka,40476,M480,Stone,Ordinary,Chondrite,H,,,1930,September?,,at mid-day,,Tanzania,-3.1333,33.5167,3° 8' S,33° 31' E,,
14002,Macau,40477,M50,Stone,Ordinary,Chondrite,H,5,,1836,November,11,500,Rio Grande do Norte,Brazil,-5.2,-36.6667,5° 12' S,36° 40' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM50%7CscientificName%3AMacau
14004,Malotas,40479,M550,Stone,Ordinary,Chondrite,H,5,,1931,June,22,440,Santiago del Estero,Argentina,-28.9333,-63.2333,28° 56' S,63° 14' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM550%7CscientificName%3AMalotas
14007,Malvern,40482,M570,Stone,Howardite,Achondrite,HOW,,807 g,1933,November,20-30,,Orange Free State,South Africa,-29.45,26.7667,29° 27' S,26° 46' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM570%7CscientificName%3AMalvern
14008,Mamra Springs,40483,M610,Stone,Ordinary,Chondrite,L,6,1 kg,1927,May,42125,,,Kazakstan,45.2167,62.0833,45° 13' N,62° 5' E,,
14009,Manbhoom,40484,M630,Stone,Ordinary,Chondrite,LL,6,,1863,December,22,900,West Bengal,India,23.05,86.7,23° 3' N,86° 42' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM630%7CscientificName%3AManbhoom
14010,Manegaon,40485,M670,Stone,Diogenite,Achondrite,DIO,,,1843,June,29,1530,Maharashtra,India,20.9667,76.1,20° 58' N,76° 6' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM670%7CscientificName%3AManegaon
14012,Mangwendi,40487,M690,Stone,Ordinary,Chondrite,LL,6,27.2 kg,1934,March,7,1245,Mashonaland,Zimbabwe,-17.65,31.6,17° 39' S,31° 36' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM690%7CscientificName%3AMangwendi
14015,Machinga,40490,M75,Stone,Ordinary,Chondrite,L,6,93.2 kg,1981,January,22,1000,Southern province,Malawi,-15.2122,35.2422,15° 12' 44'' S,35° 14' 32'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM75%7CscientificName%3AMachinga
14017,Manych,40492,M770,Stone,Ordinary,Chondrite,LL,3,3555 g,1951,October,20,1530,Kalmykia Republic,Russia,45.8167,44.6333,45° 49' N,44° 38' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM770%7CscientificName%3AManych
14020,Macibini,40495,M80,Stone,Eucrite,Achondrite,EUC,,1995 g,1936,September,23,800,Natal,South Africa,-28.8333,31.95,28° 50' S,31° 57' E,,
14022,Mardan,40497,M810,Stone,Ordinary,Chondrite,H,5,4.5 kg,1948,May,8,1200,North-west Frontier,Pakistan,34.2333,72.0833,34° 14' N,72° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM810%7CscientificName%3AMardan
14027,Maria Linden,40502,M850,Stone,Ordinary,Chondrite,L,4,114 g,1925,April,15,,,South Africa,,,,,,
14028,Mariaville,40503,M860,Iron,Octahedrite,,,O,340 g,1898,October,16,midnight,Nebraska,USA,42.7167,-99.3833,42° 43' N,99° 23' W,,
14030,Maridi,40505,M870,Stone,Ordinary,Chondrite,H,6,3.2 kg,1941,,,1500,,Sudan,4.6667,29.25,4° 40' N,29° 15' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM870%7CscientificName%3AMaridi
14031,Marilia,40506,M880,Stone,Ordinary,Chondrite,H,4,2.5 kg,1971,October,5,1700,São Paulo,Brazil,-22.25,-49.9333,22° 15' S,49° 56' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM880%7CscientificName%3AMarilia
14033,Marion (Iowa),40508,M900,Stone,Ordinary,Chondrite,L,6,28.4 kg,1847,February,25,1445,Iowa,USA,41.9,-91.6,41° 54' N,91° 36' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM900%7CscientificName%3AMarion%20%28Iowa%29
14039,Marjalahti,40514,M940,Stony-iron,Pallasite,,PAL,,45 kg,1902,June,,2200,Karelian Republic,Russia,61.5,30.5,61° 30' N,30° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM940%7CscientificName%3AMarjalahti
14042,Marmande,40517,M980,Stone,Ordinary,Chondrite,L,5,3 kg,1848,July,4,,Lot-et-Garonne,France,44.5,0.15,44° 30' N,0° 9' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AM980%7CscientificName%3AMarmande
14043,Nadiabondi,40518,N10,Stone,Ordinary,Chondrite,H,5,8.1 kg,1956,July,27,1930,Gourma,Burkina Faso,11.955,1.5233,11° 57.3' N,1° 31.4' E,,
14048,Niger (L6),40523,N1060,Stone,Ordinary,Chondrite,L,6,,1967,August,1,,,Niger,,,,,,
14049,Niger (LL6),40524,N1070,Stone,Ordinary,Chondrite,LL,6,,1967,August,1,,,Niger,,,,,,
14050,Nikolaevka,40525,N1120,Stone,Ordinary,Chondrite,H,4,,1935,July,11,300,Pavlodar,Kazakstan,52.45,78.6333,52° 27' N,78° 38' E,,
14051,Nikolskoe,40526,N1150,Stone,Ordinary,Chondrite,L,4,6 kg,1954,March,6,1522,Moscow,Russia,56.1167,37.3333,56° 7' N,37° 20' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1150%7CscientificName%3ANikolskoe
14054,Ningbo,40529,N1158,Iron,Fine octahedrite,,IVA,Of,14.3 kg,1975,October,4,1220,Zhejiang,China,29.9,121.55,29° 54' N,121° 33' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1158%7CscientificName%3ANingbo
14055,Ningqiang,40530,N1159,Stone,Carbonaceous,Chondrite,CK,3,4.6 kg,1983,June,25,1900,Shanxi,China,32.925,105.9067,32° 55' 30'' N,105° 54' 24'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1159%7CscientificName%3ANingqiang
14056,Nio,40531,N1160,Stone,Ordinary,Chondrite,H,,448 g,1897,August,8,2230,Honshu,Japan,34.2,131.5667,34° 12' N,131° 34' E,,
14058,N'Kandhla,40533,N1200,Iron,Medium octahedrite,,IID,Om,17.2 kg,1912,August,1,1330,Natal,South Africa,-28.5667,30.7,28° 34' S,30° 42' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1200%7CscientificName%3AN%27Kandhla
14060,Noblesville,40535,N1235,Stone,Ordinary,Chondrite,H,4,483.7 g,1991,August,31,approx. 1900 CDT,Indiana,USA,40.0853,-86.055,40° 5' 07'' N,86° 3' 18'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1235%7CscientificName%3ANoblesville
14065,Nogoya,40540,N1310,Stone,Carbonaceous,Chondrite,CM,2,4 kg,1879,June,30,,Entre Rios,Argentina,-32.3667,-59.8333,32° 22' S,59° 50' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1310%7CscientificName%3ANogoya
14070,Norfork,40545,N1420,Iron,Medium octahedrite,,IIIAB,Om,1050 g,1918,October,,,Arkansas,USA,36.2167,-92.2667,36° 13' N,92° 16' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1420%7CscientificName%3ANorfork
14078,Nakhla,40553,N150,Stone,Nakhlite,Achondrite,SNC,,10 kg,1911,June,28,900,,Egypt,31.3167,30.35,31° 19' N,30° 21' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN150%7CscientificName%3ANakhla
14088,Nakhon Pathom,40563,N160,Stone,Ordinary,Chondrite,L,6,23.2 kg,1923,December,21,2100,,Thailand,13.7333,100.0833,13° 44' N,100° 5' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN160%7CscientificName%3ANakhon%20Pathom
14498,Norton County,40973,N1640,Stone,Aubrite,Achondrite,AUB,,> 1 t,1948,February,18,1656,Kansas,USA,39.6833,-99.8667,39° 41' N,99° 52' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1640%7CscientificName%3ANorton%20County
14505,Noventa Vicentina,40980,N1690,Stone,Ordinary,Chondrite,H,4,177 g,1971,May,12,,Veneto,Italy,45.2917,11.5272,45° 17' 30'' N,11° 31' 38'' E,,
14509,Novo-Urei,40984,N1710,Stone,Ureilite,Achondrite,URE,,1.9 kg,1886,September,4,715,Mordova Republic,Russia,54.8167,46.0,54° 49' N,46° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1710%7CscientificName%3ANovo-Urei
14511,Novy-Projekt,40986,N1760,Stone,,Chondrite,,,1001 g,1908,April,25,200,Plunges,Lithuania,56.0,22.0,56° 0' N,22° 0' E,,
14512,Noyan-Bogdo,40987,N1780,Stone,Ordinary,Chondrite,L,6,220 g,1933,September,,,Omnogov aymag,Mongolia,42.9167,102.4667,42° 55' N,102° 28' E,,
14514,Nuevo Mercurio,40989,N1814,Stone,Ordinary,Chondrite,H,5,5 kg,1978,December,15,1850,Zacatecas,Mexico,24.3,-102.1333,24° 18' N,102° 8' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1814%7CscientificName%3ANuevo%20Mercurio
14535,Nulles,41010,N1830,Stone,Ordinary,Chondrite,H,6,,1851,November,5,1730,,Spain,41.6333,0.75,41° 38' N,0° 45' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1830%7CscientificName%3ANulles
14536,Numakai,41011,N1840,Stone,Ordinary,Chondrite,H,4,363 g,1925,September,5,,Hokkaido,Japan,43.3333,141.8667,43° 20' N,141° 52' E,,
14546,Nyaung,41021,N1880,Iron,Medium octahedrite,,IIIAB,Om,737.6 g,1939,December,24,1940,Upper Burma,Burma,21.2083,94.9167,21° 12' 30'' N,94° 55' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN1880%7CscientificName%3ANyaung
14547,Nammianthal,41022,N190,Stone,Ordinary,Chondrite,H,5,4.5 kg,1886,January,27,,Tamil Nadu,India,12.2833,79.2,12° 17' N,79° 12' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN190%7CscientificName%3ANammianthal
14548,Nyirábrany,41023,N1900,Stone,Ordinary,Chondrite,LL,5,,1914,July,17,,Ungarn,Hungary,47.55,22.025,47° 33' N,22° 1' 30'' E,,
14552,Nantong,41027,N236,Stone,Ordinary,Chondrite,H,6,529 g,1984,June,15,1135,Jiangsu,China,32.1167,121.8,32° 7' N,121° 48' E,,
14553,Nan Yang Pao,41028,N240,Stone,Ordinary,Chondrite,L,6,53 kg,1917,July,11,1200,Gansu,China,35.6667,103.5,35° 40' N,103° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN240%7CscientificName%3ANan%20Yang%20Pao
14554,Naoki,41029,N250,Stone,Ordinary,Chondrite,H,6,17 kg,1928,September,29,1700,Maharashtra,India,19.25,77.0,19° 15' N,77° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN250%7CscientificName%3ANaoki
14555,Nagai,41030,N26,Stone,Ordinary,Chondrite,L,6,1.81 kg,1922,May,30,,Honshu,Japan,38.1217,140.0617,38° 7' 18'' N,140° 3' 42'' E,,
14556,Naragh,41031,N270,Stone,Ordinary,Chondrite,H,6,2.7 kg,1974,August,18,1830,,Iran,33.75,51.5,33° 45' N,51° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN270%7CscientificName%3ANaragh
14560,Narellan,41035,N300,Stone,Ordinary,Chondrite,L,6,367.5 g,1928,April,8,1915,New South Wales,Australia,-34.05,150.6889,34° 3' S,150° 41' 20'' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN300%7CscientificName%3ANarellan
14567,Näs,41042,N360,Stone,Ordinary,Chondrite,LL,6,375 g,1907,May,14,,,Sweden,59.1833,12.2167,59° 11' N,12° 13' E,,
14569,Nagaria,41044,N40,Stone,Eucrite,Achondrite,EUC,,20 g,1875,April,24,730,Uttar Pradesh,India,26.9833,78.2167,26° 59' N,78° 13' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN40%7CscientificName%3ANagaria
14571,Nassirah,41046,N410,Stone,Ordinary,Chondrite,H,4,347 g,1936,July,15,1630 to 1700,,New Caledonia,-21.7333,165.9,21° 44' S,165° 54' E,,
14572,Natal,41047,N420,Stone,,Chondrite,,,1.4 g,1973,,,,Natal,South Africa,,,,,,
14576,Nawapali,41051,N480,Stone,Carbonaceous,Chondrite,CM,2,60 g,1890,June,6,1800,Orissa,India,21.25,83.6667,21° 15' N,83° 40' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN480%7CscientificName%3ANawapali
14583,Neagari,41058,N535,Stone,Ordinary,Chondrite,L,6,420 g,1995,February,18,approx. 23:55 (Japan,Honshu,Japan,36.4483,136.465,36° 26' 54'' N,136° 27' 54'' E,,
14584,Nedagolla,41059,N580,Iron,,,UNGR,,4.54 kg,1870,January,23,1900,Andhra Pradesh,India,18.6833,83.4833,18° 41' N,83° 29' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN580%7CscientificName%3ANedagolla
14590,Nejo,41065,N660,Stone,Ordinary,Chondrite,L,6,2.456 kg,1970,May,11,1130,,Ethiopia,9.5,35.3333,9° 30' N,35° 20' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN660%7CscientificName%3ANejo
14594,Nerft,41069,N710,Stone,Ordinary,Chondrite,L,6,10.25 kg,1864,April,12,445,Liepajas,Latvia,56.5,21.5,56° 30' N,21° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN710%7CscientificName%3ANerft
14601,Nagy-Borové,41076,N80,Stone,Ordinary,Chondrite,L,5,,1895,May,9,,Tatry,Slovakia,49.1667,19.5,49° 10' N,19° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN80%7CscientificName%3ANagy-Borov%C3%A9
14602,New Concord,41077,N820,Stone,Ordinary,Chondrite,L,6,226.8 kg,1860,May,1,1245,Ohio,USA,40.0,-81.7667,40° 0' N,81° 46' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN820%7CscientificName%3ANew%20Concord
14603,New Halfa,41078,N835,Stone,Ordinary,Chondrite,L,4,12 kg,1994,November,8,5:30 (local time),Kassala,Sudan,15.3667,35.6833,15° 22' N,35° 41' E,,
14614,Ngawi,41089,N950,Stone,Ordinary,Chondrite,LL,3,1393 g,1883,October,3,1715,Java,Indonesia,-7.45,111.4167,7° 27' S,111° 25' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN950%7CscientificName%3ANgawi
14615,N'Goureyma,41090,N960,Iron,,,UNGR,,37.5 kg,1900,June,15,,Ke Macina,Mali,13.85,-4.3833,13° 51' N,4° 23' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AN960%7CscientificName%3AN%27Goureyma
14618,Otomi,41093,O1010,Stone,Ordinary,Chondrite,H,,6.5 kg,1867,May,24,,Honshu,Japan,38.4,140.35,38° 24' N,140° 21' E,,
14619,Ottawa,41094,O1050,Stone,Ordinary,Chondrite,LL,6,840 g,1896,April,9,1815,Kansas,USA,38.6,-95.2167,38° 36' N,95° 13' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO1050%7CscientificName%3AOttawa
14624,Oued el Hadjar,41099,O1135,Stone,Ordinary,Chondrite,LL,6,1215.5 g,1986,March,,,,Morocco,30.18,-6.5772,30° 10.8' N,6° 34.63' W,,
14626,Ourique,41101,O1143,Stone,Ordinary,Chondrite,H,4,5 kg,1998,December,28,0050 UT,,Portugal,37.6083,-8.28,37° 36' 30'' N,8° 16' 48'' W,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO1143%7CscientificName%3AOurique
14629,Ovambo,41104,O1150,Stone,Ordinary,Chondrite,L,6,56 g,1900,,,,,Namibia,-18.0,16.0,18° S,16° E,,
14632,Oviedo,41107,O1170,Stone,Ordinary,Chondrite,H,5,205 g,1856,August,5,1745,,Spain,43.4,-5.8667,43° 24' N,5° 52' W,,
14642,Ochansk,41117,O150,Stone,Ordinary,Chondrite,H,4,500 kg,1887,August,30,1300,Perm Province,Russia,57.7833,55.2667,57° 47' N,55° 16' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO150%7CscientificName%3AOchansk
14648,Oesede,41123,O240,Stone,Ordinary,Chondrite,H,5,3600 g,1927,December,30,1130,Niedersachsen,Germany,52.2833,8.05,52° 17' N,8° 3' E,,
14650,Oesel,41125,O250,Stone,Ordinary,Chondrite,L,6,6 kg,1855,May,11,1530,Saare Province,Estonia,58.5,23.0,58° 30' N,23° 0' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO250%7CscientificName%3AOesel
14651,Ofehértó,41126,O260,Stone,Ordinary,Chondrite,L,6,3.75 kg,1900,July,25,,Szabolcs,Hungary,47.8833,22.0333,47° 53' N,22° 2' E,,
14657,Ohaba,41132,O360,Stone,Ordinary,Chondrite,H,5,16.25 kg,1857,October,11,15,Transylvania,Romania,46.0667,23.5833,46° 4' N,23° 35' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO360%7CscientificName%3AOhaba
14658,Ohuma,41133,O370,Stone,Ordinary,Chondrite,L,5,7.7 kg,1963,April,11,,,Nigeria,6.75,8.5,6° 45' N,8° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO370%7CscientificName%3AOhuma
14660,Ojuelos Altos,41135,O400,Stone,Ordinary,Chondrite,L,6,5850 g,1926,December,10,930,Cordoba,Spain,38.1833,-5.4,38° 11' N,5° 24' W,,
14661,Okabe,41136,O410,Stone,Ordinary,Chondrite,H,5,194 g,1958,November,26,1500,Honshu,Japan,36.1833,139.2167,36° 11' N,139° 13' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO410%7CscientificName%3AOkabe
14663,Okano,41138,O430,Iron,Hexahedrite,,IIAB,H,4742 g,1904,April,7,635,Honshu,Japan,35.0833,135.2,35° 5' N,135° 12' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO430%7CscientificName%3AOkano
14666,Okniny,41141,O480,Stone,Ordinary,Chondrite,LL,6,12 kg,1834,January,8,930,Volynska Province,Ukraine,50.8333,25.5,50° 50' N,25° 30' E,Y,https://data.nhm.ac.uk/dataset/collection-specimens/resource/05ff2255-c38a-40c9-b657-4ccb55ab2feb?filters=fieldNumber%3AO480%7CscientificName%3AOkniny
